Title,Review,Writer,Category,Update Date
청년수당 정책후기,청년수당 선정되어 취업 준비하여 취업하였습니다.,이**,2024/1 청년수당,2024-07-03
청년수당 후기,청년수당 덕분에 식비 교통비 없이 취업을 준비할 수 있었습니다,홍**,2024/1 청년수당,2024-07-03
2024 서울시 청년수당 후기 공유(감사),"안녕하세요. 2024 서울시 청년수당 참여자입니다.
<br>
<br>우선, 이런 훌륭한 정책에 참여할 수 있게 되어 너무나 감사합니다. 덕분에 취업에 빠르게 성공할 수 있게 되었습니다. 힘든 시기인 만큼 다른 청년들께서도 도움을 받으셔서 빠르게 취업할 수 있기를 기도하겠습니다.
<br>
<br>다음으로 '2024 서울시 청년수당' 프로그램이 좋았던 점 2가지를 공유하려고 합니다.
<br>첫째, 6개월 동안 매월 50만원을 지급받으며 구직 활동을 이어 나갈 수 있습니다. 다만, 정해진 기한 내 자기활동기록서를 꾸준히 작성 후 업로드 해야 받을 수 있으시니 이 부분은 신경 쓰셔서 불이익 없으시길 당부드립니다.
<br>둘째, 맞춤형 청년 프로그램 제공입니다. 포스터에도 나와 있지만, 아주 알찬 프로그램으로 구성하여 청년 여러분께 도움이 되는 교육 프로그램을 제공받을 수 있습니다.",남**,2024/1 청년수당,2024-07-03
청년수당 후기,"힘든 시기에 많은 도움이 되었던 정책입니다.
퇴사 후 재취업이 어려워 방황하고 있던 시기에
조금이나마 금전적 문제를 해결해주고
다시 취업을 할 수 있도록 많은 도움을 받을 수 있었습니다.",이**,2024/1 청년수당,2024-07-02
감사합니다^^,"취업을 준비하면서 가장 걱정되는 부분이 금전적인 부담이었습니다.
언제 취업이 될 지 모르는 상태에서 아르바이트를 하기도 어렵고, 면접준비나 교재구매, 학원비나 식비 등 많은 부담이 있었습니다. 그러나 청년수당 덕분에 마음의 짐을 조금 덜어 취업준비를 할 수 있었습니다.
좋은 기회라 주변 친구들에게도 소개하였으며 앞으로도 청년을 지원하는 사업이 더욱 확대되었으면 좋겠습니다.
감사합니다^^",서**,2024/1 청년수당,2024-07-02
감사합니다,덕분에 자기계발을 할 수 있었고 취업을 할 수 있었습니다,최**,2024/1 청년수당,2024-07-02
2024 청년수당,월 50만원을 지원해주는 청년수당에 운좋게 당첨이 되었고 그 덕에 구직활동을 하는동안 조금이나마 경제적인 도움을 얻을 수 있었습니다. 다른 곳에 사용할 방법들도 물론 있겠지만 구직활동에 많은 비중을 두어 사용을 하면 분명한 도움이 될 것이라 생각합니다.,이**,2024/1 청년수당,2024-07-02
힘들고 외로운 시절에 희망을 줍니다.,"가족에게 힘든 경제 사정을 이야기하기 힘들 때 청년 수당으로 취업 준비 기간에 힘을 얻었습니다.
많은 청년들에게 힘이 되어주는 정책인 만큼 여러 청년들이 신청 후 도움을 받았으면 좋겠습니다.",최**,2024/1 청년수당,2024-07-02
서울시 청년수당 사업 참여 후기,활동지원금을 통해 경제적 부담을 덜고 구직활동에 집중하여 목표했던 기업에 취업할 수 있게 됐습니다. 구직활동에 어려움을 겪고 있는 미취업 청년들이 청년수당을 통해 많은 도움을 받을 수 있을 것으로 기대됩니다. 감사합니다.,장**,2024/1 청년수당,2024-07-02
청년수당 참여 후기,"청년수당이 있어서 취업준비하는 데 들어가는 모든 비용이 부담스럽지 않았고 많은 도움이 되었어요.
특히 단시간 아르바이트를 병행해도 되니까 조금이라도 더 여유있는 생활이 가능했습니다.
감사합니다.",선**,2024/1 청년수당,2024-07-02
서울 청년수당의 큰도움,"젊었을때부터 일만하다가 이직을 하기 위해 퇴직 후 청년수당이라는 좋은 정책을 알게되어 도움을 얻고자 접수하게 되었고 선정되었습니다 실직 후 정부지원인 실업급여를 통하여 내일배움카드를 활용, 자격증 취득을 할 수 있었으며 그 뒤 청년수당에도 선정되어 내일배움카드로 취득 한 자격증을 바탕으로 취업활동을 하게 되어 자그만한 업체에 취업하게 되었습니다 다시 한번 더 감사드립니다 허나 모든점은 만족 그 자체 였으나 청년수당으로 내일배움카드와 중복되어 사용하지 못한것에 대해 조금 아쉽게 생각 합니다 예를 들어 청년수당 월50만원 지급되는것으로 내일배움카드 수업료 100만원인 수업에 자기부담금이 30만원일때 청년수당을 활용하여 30만원 자기부담금을 지불할수 없던 것 은 매우 아쉬웠습니다 물론 청년수당으로 면접에 필요한 의류,경비,생활비용 은 충당 할 수 있었지만 조금 더 취업활동에 도움이 될 수 있는 방향에도 사용 가능 했으면 좋겠습니다 정부사업과 서울시 사업의 완만한 협업을 통해 더욱 더 청년들에게 도움이 될 수 있는 정책이 됬으면 해서 진중어린 후기를 남깁니다",송**,2024/1 청년수당,2024-07-02
덕분에 잘 버틸 수 있었습니다,앞으로도 잘 버틸 수 있을진 모르겠지만 감사합니다.,강**,2024/1 청년수당,2024-07-02
취업성공하기까지 지원해 준 것에 감사,"계약직 일을 마치고 공기업을 도전하기 시작하면서 청년수당 지원도 시작됐습니다.
매월 나오는 돈이 있어서 걱정 없이 공기업 준비를 할 수 있었습니다.
8개를 지원하고, 총 6개 서류 합격. 6개 중 인턴면접 2번, 정규직 면접 1번 봤습니다.
첫 정규직 면접을 열심히 준비한 결과, 무사히 합격할 수 있었습니다.
지역이 달라져서 자취 준비를 하고 있는데 살림템 사는 데 아주 유용하게 지금도 쓰고 있습니다.
취업 성공에 큰 보탬이 된 청년 수당, 정말 감사합니다.",유*,2024/1 청년수당,2024-07-02
청년수당 참여 후기,"청년수당을 통해 경제적으로 큰 안정감을 느꼈습니다. 생활비 부담이 줄어들면서, 자격증 공부와 자기 계발에 더 많은 시간을 투자할 수 있었습니다. 특히, 컴퓨터 활용능력 1급 자격증을 취득하기 위해 스터디카페를 이용하고, 필요한 교재도 청년수당으로 해결할 수 있었습니다. 또한, 청년수당은 저의 정신적 건강에도 긍정적인 영향을 주었습니다. 스트레스 해소를 위해 필요한 정신과 치료도 받을 수 있었습니다. 청년수당 덕분에 다양한 경험도 쌓을 수 있었습니다. 청년정책박람회를 통해 서울형 청년인턴 국제캠프 프로그램을 알게 되었습니다. 현재 그 프로그램 덕분에 인턴 생활을 시작할 수 있게 되었습니다. 또한, 자기 계발을 위해 새로운 취미를 시작하고, 관련된 재료를 구입하는 데에도 청년수당을 활용했습니다. 마지막으로, 청년수당을 통해 저의 목표와 꿈에 한 걸음 더 다가갈 수 있었습니다. 경제적인 부담 없이 다양한 도전을 할 수 있었고, 이를 통해 성장할 수 있는 기회를 얻었습니다.
서울시의 청년수당 제도에 진심으로 감사드리며, 앞으로도 많은 청년들이 이 제도를 통해 꿈을 이루기를 바랍니다. 감사합니다.",인**,2024/1 청년수당,2024-07-02
서울시 청년수당,서울시 청년 수당에 선정되어 면접 복장 비용의 부담을 줄일 수 있었고 어학 성적 또한 높여 취업할 수 있는 기회가 되어 좋았습니다.,유**,2024/1 청년수당,2024-07-02
청년수당 후기,"취업 준비하면서 생활비나 배우고 싶은 자격증 비용이 걱정스러워 취업을 얼른 해야 한다는 부담감이 있었는데 청년수당 지급을 받으면서 비용에 대한 걱정이 줄어들어서 좋았습니다. 그 결과 촉박하게 취업하지 않고 회사를 충분히 알아 본 다음에 취업을 할 수 있어 많이 도움이 되었고 취업 전에 제가 배우고 싶은 자격증을 취득할 수 있는 기회가 있어서 뜻깊었습니다.
이런 정책이 있다는 것을 아직 모르는 청년들이 주변에 많아 아쉽고 저라도 선정되어 경험해 볼 수 있어서 좋았습니다.",김**,2024/1 청년수당,2024-07-02
청년수당 정책후기,"서울에서 자취를 하며 고시공부를 하다가 포기 후 취업을 준비하게 되었습니다.
벌이가 없는 상황에서 자취에 필요한 모든 비용을 부모님께 지원받는 것이 죄송하고 부담스러웠는데,
청년수당 덕분에 죄송한 마음을 조금은 덜게 되었습니다.
보다 가벼워진 마음으로 취업에 매진하여 감사하게도 원하는 기업에 입사하게 되었습니다.

더불어 청년으로서 누릴 수 있는 더 많은 복지를 놓치지 않도록
청년몽땅정보통에 더 자주 방문해야겠다는 생각이 들었습니다.
다시 한번 진심으로 감사드립니다!",이**,2024/1 청년수당,2024-07-02
부담을 덜어준 고마운 정책,청년수당을 취업준비에 필요한 비용과 취업 준비 비용으로 대부분 사용하였습니다. 면접 준비기간 동안 금전적 부담을 덜어주어 면접에 더욱 몰입하여 준비할 수 있었습니다. 그 결과 최종 면접에 합격하여 현재 취업에 성공하였습니다. 금전적 부담을 덜어준 청년수당 사업 덕분에 좋은 결과를 얻은것 같습니다!!,유**,2024/1 청년수당,2024-07-02
청년수당 정책후기,"청년수당 정책후기 말씀드리면 일단 가장 힘든 부분이 경제적부분인데 그 부분을 지원해주셔서 삶의 질이 좋아졌습니다.
당장 알바할 곳도 없고 모아둔 돈으로 취업준비하고 있어서 빠듯한 생활속에서 동생하고 같이 살고 있었는데 지원금을 지원해주셔서 힘든 생활에 메마른 가뭄에 단비같은 느낌이였습니다.
또한 지원금이라하면 한정적이고 제한적인 부분이 많아 사실 크게 도움이 안될 줄 알았는데 현금운용이 가능해 월세지원금 및 공과금을 납부할 수 있어 가장 큰 비용지출이 되는 부분이 해결되어 맘이 너무 가벼웠습니다.
서울시가 정말 청년들을 위해 일하고 있다는게 느껴질 정도로 좋은 제도라고 생각듭니다.
저는 앞으로도 다른 청년들에게 이 좋은 정책이 지원되면 좋겠고, 주변 많은 청년들에게 이 부분을 홍보할 생각입니다.
그동안 지원해주셔서 정말 감사합니다.",김**,2024/1 청년수당,2024-07-02
청년수당 후기,"청년수당 선정되어 직업적성의 고민의 시기에
<br>안정적인 생활을 할 수 있게 되어 많은 도움이 되었습니다.
<br>
<br>",송**,2024/1 청년수당,2024-07-02
이런 정책 너무 좋습니다.,"한달에 소비되는 교통비가 거의 10만원에 가까웠는데 이 정책 덕분에 교통비를 사용하면서도 차후에 환급받을 생각에 마음이 한결 가벼웠던 것 같습니다.
매년 시행하면 좋겠다는 생각이 있었는데 이제는 기후동행카드나 k패스 등의 정책 등으로 세부적으로 발전되어 시행되는 것 같아서 좋은 것 같습니다.",김**,2023/1 대중교통비지원(티머니),2024-07-01
카드 발급,어케 하나요….,유**,2024/1 청년문화패스,2024-07-01
진심어린 상담 감사했습니다,"마음속에 가지고 있던 고민들을 대면상담을 통해 이야기를 나누면서해소하고 치유 받을 수 있었습니다
진심어린 상담 감사했습니다",이**,2022/4 청년마음건강,2024-07-01
발급도 안되고…억울하네요.,"발급 받으라는대로 여러번 했는데도 발급이 안되어서 포기했습니다.
<br>문자 받은 절차대로 하는데 문자에서는 청년문화패스 홈페이지에서 비밀번호 초기화 후 임시비밀번호를 발급받으라는데 저는 해당 절차에서 인증번호만 주고 비밀번호 재설정 시켜서 했는데 로그인 제한으로 뜹니다.
<br>
<br>날짜가 다 되어서 발급받지도 못하고 괜히 신났다가 억울하기만하네요",성**,2024/1 청년문화패스,2024-06-29
카드발급절차문의,"카드발급이 되지않아서 문의드립니다.신청한 휴대폰명의가 보호자라서 신한솔 앱이 설치가 되지 않네요..

제성민청년이 발달장애인이라서 보호자가 카드발급을 도와야합니다.. 여러번 시도하다가 문의드립니다",제**,2024/1 청년문화패스,2024-06-29
